filename	enum	defaultf0floor	defaultf0ceiling	idx	character	case	minTime	maxTime	char_duration	boundary	syl_rhyme	syl_rhyme_minTime	syl_rhyme_maxTime	syl_rhyme_duration	rhyme	rhyme_minTime	rhyme_maxTime	rhyme_duration	f0min	f0max	f0min_time	f0max_time	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20
S2diaD5	6	60.0	320.0	7	子	Object(suffix)	1.40769	1.67715	0.26946	1	I	1.52391	1.67715	0.15324	I	1.52391	1.61715	0.09324	61.827	85.622	1.61715	1.543382881347747	1.52391	1.52857	1.53323	1.5379	1.54256	1.54722	1.55188	1.55654	1.56121	1.56587	1.57053	1.57519	1.57985	1.58452	1.58918	1.59384	1.5985	1.60316	1.60783	1.61249	85.031	84.924	85.01	85.18	85.35	85.52	85.284	84.448	83.612	82.777	81.843	80.146	78.448	76.751	75.054	72.273	69.259	66.246	63.232	61.827
S2diaNA5	0	80.0	360.0	1	小	Name(prefix)	0.36813	0.55328	0.18515	0	yaw	0.4768	0.55328	0.07648	yaw	0.4768	0.55328	0.07648	127.348	141.794	0.5036752462103447	0.48070011337868473	0.4768	0.48062	0.48445	0.48827	0.4921	0.49592	0.49974	0.50357	0.50739	0.51122	0.51504	0.51886	0.52269	0.52651	0.53034	0.53416	0.53798	0.54181	0.54563	0.54946	141.794	141.794	141.239	140.673	137.7	132.578	127.871	128.136	128.402	128.207	127.737	127.365	127.465	127.564	129.595	132.369	134.434	134.588	134.742	137.341
S2diaNA5	1	80.0	360.0	2	英	Name	0.55328	0.68904	0.13576	0	yin	0.55328	0.68904	0.13576	yin	0.55328	0.68904	0.13576	134.948	146.462	0.68904	0.5926876841530059	0.55328	0.56007	0.56686	0.57364	0.58043	0.58722	0.59401	0.6008	0.60758	0.61437	0.62116	0.62795	0.63474	0.64152	0.64831	0.6551	0.66189	0.66868	0.67546	0.68225	140.482	142.769	143.057	142.847	142.902	144.22	146.085	142.915	142.123	142.255	142.526	142.685	142.473	142.21	142.687	142.129	141.0	139.403	137.44	135.891
S2diaNA5	2	80.0	360.0	3	捏	Verb	0.68904	0.79254	0.1035	0	yE	0.71818	0.79254	0.07436	yE	0.71818	0.79254	0.07436	125.954	135.54	0.71818	0.7694524975247238	0.71818	0.7219	0.72562	0.72933	0.73305	0.73677	0.74049	0.74421	0.74792	0.75164	0.75536	0.75908	0.7628	0.76651	0.77023	0.77395	0.77767	0.78139	0.7851	0.78882	123.603	124.997	125.982	126.07	126.158	126.741	127.454	128.25	129.271	130.293	131.763	133.384	134.717	135.076	135.435	134.95	134.114	133.33	132.772	132.213
S2diaNA5	3	80.0	360.0	4	了	Aspect	0.79254	0.84343	0.05089	0	o	0.81116	0.84343	0.03227	o	0.81116	0.84343	0.03227	134.343	137.727	0.84343	0.8211884257375514	0.81116	0.81277	0.81439	0.816	0.81761	0.81923	0.82084	0.82245	0.82407	0.82568	0.8273	0.82891	0.83052	0.83214	0.83375	0.83536	0.83698	0.83859	0.8402	0.84182	135.877	136.301	136.725	137.149	137.573	137.668	137.574	137.48	137.386	137.292	137.198	136.778	136.289	135.801	135.312	134.823	134.334	133.824	133.314	132.804
S2diaNA5	4	80.0	360.0	5	个	Classifier	0.84343	0.93568	0.09225	0	o	0.89917	0.93568	0.03651	o	0.89917	0.92568	0.02651	104.776	112.974	0.92568	0.89917	0.89917	0.9005	0.90182	0.90315	0.90447	0.9058	0.90712	0.90845	0.90977	0.9111	0.91243	0.91375	0.91508	0.9164	0.91773	0.91905	0.92038	0.9217	0.92303	0.92435	113.242	113.138	113.034	112.733	112.174	111.615	111.056	110.497	109.937	109.378	108.804	108.204	107.604	107.004	106.404	105.804	105.204	104.728	104.559	104.391
S2diaNA5	5	80.0	360.0	6	狮	Object	0.93568	1.27721	0.34153	0	I	1.13735	1.27721	0.13986	I	1.14735	1.27721	0.12986	91.613	129.797	1.14735	1.27721	1.14735	1.15384	1.16034	1.16683	1.17332	1.17982	1.18631	1.1928	1.19929	1.20579	1.21228	1.21877	1.22527	1.23176	1.23825	1.24474	1.25124	1.25773	1.26422	1.27072	89.748	91.198	93.545	96.298	99.174	101.555	103.743	105.788	109.285	113.667	118.859	124.142	127.665	129.675	129.77	129.248	128.399	127.319	126.4	127.733
S2diaNA5	6	80.0	360.0	7	子	Object(suffix)	1.27721	1.43507	0.15786	1	I	1.36022	1.43507	0.07485	I	1.36022	1.40507	0.04485	109.911	115.138	1.40507	1.3780423810945697	1.36022	1.36246	1.36471	1.36695	1.36919	1.37143	1.37367	1.37592	1.37816	1.3804	1.38265	1.38489	1.38713	1.38937	1.39162	1.39386	1.3961	1.39834	1.40058	1.40283	110.645	110.858	111.789	112.72	113.65	114.544	114.687	114.831	114.975	115.119	114.687	114.166	113.646	113.126	112.462	111.732	111.002	110.272	109.58	108.927
S2diaN1B5	0	50.0	280.0	1	小	Name(prefix)	0.29652	0.51047	0.21395	0	yaw	0.4337	0.51047	0.07677	yaw	0.4437	0.51047	0.06677	115.929	120.016	0.48262425082380284	0.51047	0.4437	0.44704	0.45038	0.45372	0.45705	0.46039	0.46373	0.46707	0.47041	0.47375	0.47708	0.48042	0.48376	0.4871	0.49044	0.49378	0.49712	0.50045	0.50379	0.50713	116.419	116.297	116.175	116.052	115.93	116.164	116.401	116.638	116.875	116.88	116.651	116.422	116.193	115.969	116.87	117.772	118.673	119.575	120.215	120.605
S2diaN1B5	1	50.0	280.0	2	银	Name	0.51047	0.65156	0.14109	0	in	0.54125	0.65156	0.11031	in	0.54125	0.65156	0.11031	105.071	118.156	0.65156	0.54125	0.54125	0.54677	0.55228	0.5578	0.56331	0.56883	0.57434	0.57986	0.58537	0.59089	0.59641	0.60192	0.60744	0.61295	0.61847	0.62398	0.6295	0.63501	0.64053	0.64604	119.43	118.226	116.996	115.764	114.565	113.482	112.399	111.697	111.372	111.047	110.518	109.932	109.337	108.61	107.882	107.11	106.252	105.394	104.673	104.036
